"price","retail_price","units_sold","uses_ad_boosts","rating ","countries_shipped_to","origin_country","merchant_title","merchant_rating","product_id","discount","sales_revenue","units_sold_volume"
8,8,10000,1,3.61,38,"CN","happygirl ",4.04,"5c6a61c8707afb3ec1abb8d3",0.00,80000,"Medium High"
8,7,10000,1,3.66,41,"CN","shipping66",3.9,"5d1cbf16231caf5ee5f61593",-14.29,80000,"Medium High"
8,84,10000,0,4.19,37,"CN","johnson007",4.19,"594dcfd3346d4b7048be7495",90.48,80000,"Medium High"
8,7,10000,0,4.09,21,"CN","letaoba",3.96,"5d523b41dc07526635f3ae75",-14.29,80000,"Medium High"
8,30,10000,1,4.18,33,"CN","william&ja",3.9,"5b1371ddd068ec1ed5ebabd1",73.33,80000,"Medium High"
8,7,10000,0,3.82,14,"CN","wdhdage",3.87,"5b0386696040cc41f2331c83",-14.29,80000,"Medium High"
8,9,10000,0,3.95,39,"CN","taishon",3.93,"5d4e1c578d4d082786c90cc8",11.11,80000,"Medium High"
8,16,10000,0,3.27,18,"CN","listone",3.87,"5c9f216de87867207c7ac74b",50.00,80000,"Medium High"
8,140,10000,1,4.17,19,"CN","liwenjuan ",4.17,"5b6021aee07ac6197df2d097",94.29,80000,"Medium High"
8,47,10000,1,4.21,38,"CN","the small'",4.32,"5a7033cfd91790235ed80f19",82.98,80000,"Medium High"
8,7,10000,0,3.71,43,"CN","witkey bl",4.05,"5cef6f0d2b18ce107dff9f21",-14.29,80000,"Medium High"
8,7,10000,0,3.66,24,"CN","pan-emily",3.85,"5c9da0f8593b264e85540ba3",-14.29,80000,"Medium High"
8,7,10000,0,3.71,31,"CN","singing  t",4.06,"5b44179208f66b1dae02fdf4",-14.29,80000,"Medium High"
8,7,10000,0,4.13,31,"CN","excellent ",4.05,"5cedf538a1e74b7cfd5974ab",-14.29,80000,"Medium High"
8,7,10000,0,3.84,25,"CN","besagift",4.27,"5ab4c9a52d659f0378b9cb22",-14.29,80000,"Medium High"
8,7,10000,1,3.56,39,"CN","zhangj",4.18,"5b4dcba5c731de4eb674bf4f",-14.29,80000,"Medium High"
8,16,10000,0,4.04,43,"CN","astro_top",4.19,"592bc443f4fbb234d2e85852",50.00,80000,"Medium High"
8,9,10000,0,3.35,36,"CN","cmq shop",3.99,"5ce75b39bd809b61b5617d4a",11.11,80000,"Medium High"
8,7,10000,0,4.01,40,"CN","allstars",4.14,"5b2880c8e6aa7717e21461a6",-14.29,80000,"Medium High"
8,47,10000,0,4.14,45,"CN","sammy ",4.17,"595b77cd3e5c2010cd0712ca",82.98,80000,"Medium High"
8,9,10000,1,3.09,43,"CN","young's bo",3.8,"5d59083aa5fa243bcd2b45e3",11.11,80000,"Medium High"
16,56,5000,0,4.01,18,"CN","vipgirl",4.27,"58aae24ddd127b534be35ae8",71.43,80000,"Medium"
8,84,10000,0,3.31,37,"CN","johnson007",4.19,"58e85a652ab02a1908608ab8",90.48,80000,"Medium High"
8,7,10000,0,4.13,36,"CN","tingtingwa",4.16,"5b62adee423ee1752a512ca9",-14.29,80000,"Medium High"
8,7,10000,0,4.14,31,"CN","honest fas",4.24,"5c3de992180d223f8a3329d9",-14.29,80000,"Medium High"
3.92,4,20000,1,3.76,36,"CN","pentiumhor",4.14,"5ca084765e18c31890903f2a",2.00,78400,"High"
3.79,49,20000,0,3.93,8,"CN","kam",4.05,"5ac085a66d638a3b2bc434d5",92.27,75800,"High"
15,13,5000,0,3.95,41,"CN","kljolk",4.04,"5a4ef583061be948d524c8e8",-15.38,75000,"Medium"
15,13,5000,0,3.51,42,"CN","aklovers",4.47,"5adae16416d9442733b00177",-15.38,75000,"Medium"
15,13,5000,1,3.73,28,"CN","haitaotaom",3.82,"5c21ca1898238d325ed92eca",-15.38,75000,"Medium"
3.66,4,20000,0,4.48,49,"CN","meishu",4.46,"5aa3592f6bcfa3795cba85b8",8.50,73200,"High"
3.65,4,20000,1,3.93,81,"CN","plan b",4.2,"5ccd4623195cfe61a169cafd",8.75,73000,"High"
7,6,10000,0,3.91,32,"CN","yutinomupo",4.12,"5b133d8edfd6302a48963642",-16.67,70000,"Medium High"
14,84,5000,0,4.22,40,"CN","zanzeafash",4.26,"5cb99a6535110466bac87472",83.33,70000,"Medium"
14,13,5000,0,4.16,31,"CN","seaboy2",4.22,"5b2b24dd7fc4eb3f593dac62",-7.69,70000,"Medium"
